epoch,HR,NDCG
0,0.6631,0.388
1,0.6634,0.3897
2,0.6652,0.3919
3,0.6699,0.3943
4,0.6692,0.3958
5,0.6755,0.3979
6,0.6715,0.3946
7,0.6699,0.3964
8,0.669,0.395
9,0.6722,0.3973
10,0.6748,0.3991
11,0.675,0.3971
12,0.6743,0.3974
13,0.6743,0.3975
14,0.6762,0.3972
15,0.6753,0.399
16,0.6788,0.3986
17,0.6805,0.4029
18,0.6773,0.4005
19,0.6823,0.403
20,0.6755,0.4009
21,0.6704,0.399
22,0.6715,0.3978
23,0.6768,0.4011
24,0.6762,0.404
25,0.6742,0.4008
26,0.676,0.4057
27,0.6735,0.4033
28,0.6714,0.4035
29,0.6738,0.4013
30,0.6733,0.4033
31,0.6732,0.4045
32,0.6732,0.4029
33,0.6689,0.4011
34,0.6705,0.4016
35,0.6758,0.4052
36,0.6727,0.4033
37,0.6732,0.4016
38,0.6702,0.4005
39,0.6767,0.4032
40,0.675,0.4022
41,0.6781,0.404
42,0.6758,0.4037
43,0.6727,0.402
44,0.674,0.4003
45,0.6714,0.4006
46,0.6768,0.4039
47,0.6694,0.3998
48,0.672,0.4018
49,0.6765,0.4032
50,0.6763,0.4035
51,0.6772,0.4043
52,0.6755,0.4032
53,0.6745,0.4029
54,0.674,0.4022
55,0.671,0.4005
56,0.6712,0.4008
57,0.6728,0.4026
58,0.674,0.4016
59,0.6753,0.4039
60,0.6717,0.4017
61,0.674,0.4037
62,0.6796,0.4037
63,0.6801,0.4043
64,0.6767,0.4034
65,0.6725,0.4015
66,0.6791,0.4049
67,0.6747,0.4042
68,0.6748,0.4054
69,0.674,0.4053
70,0.6702,0.4027
71,0.6715,0.4016
72,0.6743,0.4037
73,0.6728,0.4045
74,0.6717,0.4033
75,0.6762,0.4038
76,0.6801,0.4058
77,0.6747,0.4043
78,0.6758,0.4045
79,0.6748,0.4035
80,0.6702,0.4021
81,0.6732,0.4047
82,0.6767,0.4062
83,0.6738,0.404
84,0.6753,0.4048
85,0.6737,0.4037
86,0.672,0.4052
87,0.6742,0.406
88,0.6798,0.4085
89,0.6767,0.4057
90,0.6745,0.4042
91,0.6715,0.4029
92,0.674,0.4036
93,0.673,0.4047
94,0.6684,0.4002
95,0.6712,0.4024
96,0.671,0.4011
97,0.6728,0.4048
98,0.6755,0.406
99,0.672,0.4035
100,0.6758,0.406
101,0.6742,0.4069
102,0.6752,0.4043
103,0.6737,0.41
104,0.673,0.4073
105,0.6692,0.4034
106,0.6742,0.4067
107,0.6752,0.4076
108,0.6793,0.409
109,0.678,0.4096
110,0.6714,0.4047
111,0.6724,0.4076
112,0.6768,0.4095
113,0.6719,0.4062
114,0.6682,0.4034
115,0.6697,0.4053
116,0.6781,0.4097
117,0.6719,0.4064
118,0.6728,0.4092
119,0.6745,0.4059
120,0.6742,0.4061
121,0.6755,0.4072
122,0.673,0.4061
123,0.672,0.405
124,0.6715,0.4063
125,0.6745,0.4071
126,0.671,0.407
127,0.6684,0.4069
128,0.6772,0.4067
129,0.6705,0.4052
130,0.6695,0.4051
131,0.6697,0.4069
132,0.669,0.406
133,0.6699,0.4067
134,0.6745,0.4063
135,0.6733,0.4065
136,0.6672,0.4054
137,0.6709,0.405
138,0.6697,0.4056
139,0.669,0.4055
140,0.6722,0.4098
141,0.6662,0.4051
142,0.6682,0.4048
143,0.6725,0.405
144,0.67,0.4054
145,0.6675,0.404
146,0.675,0.4099
147,0.6687,0.4061
148,0.6699,0.4062
149,0.6687,0.4077
150,0.6719,0.4064
151,0.6742,0.4075
152,0.6682,0.4049
153,0.6733,0.4081
154,0.6692,0.4045
155,0.6712,0.4061
156,0.6752,0.409
157,0.675,0.4068
158,0.6735,0.4071
159,0.6757,0.4093
160,0.6776,0.4091
161,0.67,0.4038
162,0.6705,0.4048
163,0.6755,0.4077
164,0.6745,0.4061
165,0.6768,0.412
166,0.675,0.4101
167,0.6752,0.4101
168,0.6745,0.4102
169,0.6727,0.4081
170,0.6757,0.4091
171,0.6738,0.4081
172,0.6745,0.4076
173,0.677,0.4103
174,0.6757,0.4102
175,0.6755,0.4079
176,0.6758,0.4096
177,0.6752,0.4076
178,0.6748,0.4059
179,0.675,0.4092
180,0.674,0.4066
181,0.6772,0.408
182,0.6767,0.4091
183,0.676,0.4075
184,0.675,0.4067
185,0.6791,0.4072
186,0.68,0.4085
187,0.6767,0.4075
188,0.6786,0.4073
189,0.6795,0.4106
190,0.6778,0.4073
191,0.675,0.4064
192,0.6767,0.4064
193,0.6742,0.4058
194,0.6785,0.4074
195,0.6791,0.4084
196,0.677,0.4077
197,0.6732,0.406
198,0.6788,0.4101
199,0.6748,0.4084
